,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
yeast-2_vs_8,57.14,37.5,37.5,28.57,44.44,13.04,27.27,33.33,37.5,7.59,36.36,40,66.67,26.67,28.57,40,33.33,5.37,66.67,33.33,30,5.37,66.67,40,10.26,13.33,21.05,33.33,66.67,5.52,57.14,66.67,15.38,5.41,66.67,66.67,66.67,57.14,8.7,8,11.11,75,57.14,33.33,50,19.35,66.67,75
yeast4,0,29.17,28,35,22.22,17.02,28.57,31.43,26.42,10.27,14.35,32,0,32.56,26.67,30.43,34.29,7.49,0,27.45,34.15,7.46,41.1,28.99,8.67,9.01,8.98,9.38,7.71,23.44,8.14,9.04,9.09,8.19,0,29.27,0,32.73,35.14,43.9,44.44,36.78,32.32,33.33,34.48,13.55,21.94,36.36
yeast6,30.77,33.33,40,28.57,29.63,15.38,27.59,35.71,32,7.75,16,28,0,32,38.46,27.27,31.58,4.89,0,26.67,32,4.91,8.57,31.58,9.57,19.57,10.98,25.71,17.65,0,11.92,20,18,32,17.39,32.65,30.77,53.33,41.03,35.71,37.04,40,34.15,40,50,9.89,54.55,38.1
ecoli-0_vs_1,91.57,92.68,92.68,92.68,91.57,96.2,96.2,92.68,92.68,97.44,91.57,92.68,92.68,92.68,92.68,92.68,92.68,97.44,97.44,91.57,92.68,97.44,93.83,95,89.41,89.41,89.41,88.37,87.36,0,81.72,89.41,89.41,0,84.44,0,91.57,95,92.68,93.83,95,0,97.44,92.68,95,58.18,93.83,96.2
ecoli1,81.08,79.07,69.57,69.77,63.83,73.91,70.83,69.77,78.05,72.34,80.95,77.27,77.42,68.18,61.9,56,70,31.03,78.79,66.67,51.06,30.09,75,77.78,69.23,68.18,66.67,66.67,65.31,69.77,65.22,68,66.67,50,65.45,73.17,81.25,72.73,73.91,73.91,71.11,61.02,73.91,75.56,76.19,58.62,69.77,75.56
ecoli2,83.33,81.48,80,88,80,68.75,75.86,81.48,80,60,72.73,81.48,56,59.26,66.67,55,69.23,26.37,66.67,78.57,75.86,23.53,55,64,30.77,43.64,29.89,64.71,55,75,70.97,52.38,46.15,30.77,29.55,48,80,81.48,80,84.62,75.86,70.97,70.97,81.48,81.48,78.57,61.54,81.48
glass-0-1-2-3_vs_4-5-6,81.48,66.67,50,44.9,75.86,31.43,31.88,40,48.89,45.83,78.57,64.71,44,41.67,29.03,31.25,31.75,33.85,31.03,64.71,30.77,64.52,33.85,41.67,30.99,30.56,30.14,29.73,30.14,28.95,28.95,28.95,31.43,28.95,33.33,28.95,78.57,44,33.85,48.89,81.48,28.95,30.14,33.33,47.83,31.43,75.86,70.97
glass0,21.43,32.26,30.3,30.3,31.25,65.22,36.36,30.3,36.36,42.11,37.5,59.02,21.43,0,23.08,14.81,18.18,56.34,23.08,22.22,26.67,21.43,23.08,59.15,0,0,0,0,0,50.6,0,0,0,48.72,0,57.14,40,45.71,56.6,60.87,59.57,55.56,55.56,46.67,43.24,52.17,30.77,57.14
glass1,45.16,52.94,55.07,55.07,56.34,61.97,61.33,60.87,57.14,56.76,50,62.86,29.41,27.03,37.84,54.55,17.65,40,44.44,53.73,12.5,47.06,59.15,56.76,13.33,14.29,14.29,13.79,30.3,57.14,27.78,13.33,7.41,56.18,7.14,55.42,50,48.98,52.94,51.72,52.17,53.49,62.65,54.84,52.94,32.43,54.29,57.14
glass6,87.5,42.42,27.45,27.45,46.67,26.92,22.58,58.33,42.42,41.18,66.67,73.68,93.33,25,82.35,33.33,100,17.14,31.82,30.43,87.5,14.49,63.64,100,63.64,77.78,54.55,48.28,40,19.44,19.72,27.45,82.35,19.44,66.67,77.78,25.93,23.33,22.22,22.95,82.35,19.44,20.29,26.42,23.33,43.75,63.64,58.33
