,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,KNN,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,CART,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,NB,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM,SVM
,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO,None,SMOTE,ADASYN,Bord,A-SUWO,G-SMOTE,ASRDO,ENN,IPF,CCR,RBU,HBO
yeast-2_vs_8,69.98,83.56,83.56,68.23,69.48,73.7,81.68,82.94,83.56,61.03,68.98,83.87,70.22,67.98,68.23,83.87,68.73,16.61,70.22,68.73,82.32,16.61,70.22,69.23,71.92,64.06,66.95,68.73,70.22,23.49,69.98,70.22,65.13,18.57,70.22,70.22,70.22,69.98,59.6,58.43,62.42,86,69.98,68.73,69.73,78.78,70.22,86
yeast4,0,61.67,61.52,62.27,41.01,78.23,80.82,75.99,61.3,57.8,72.68,79.07,0,62.05,57.17,61.82,57.86,24.14,0,61.45,62.2,23.2,89.29,72.36,47.96,53.19,53,55.55,36.46,82.97,42.35,53.37,53.74,38.18,0,57.44,0,69.68,82.61,70.86,87.12,90.84,89.43,84.86,73.36,71.66,85.36,85.62
yeast6,42.21,59.21,66.28,51.34,59,76.41,58.87,66.05,59.14,64.23,41.62,76.49,0,59.14,66.2,51.28,51.46,20.09,0,58.8,59.14,21.18,48.33,71.67,73.05,82.61,74.19,85.02,81.49,0,75.78,82.83,81.72,81.97,41.72,82.06,42.21,83.93,83.05,66.05,66.12,82.95,77.32,77.87,78.51,71.93,73.02,82.76
ecoli-0_vs_1,94.55,95.35,95.35,95.35,94.55,97.7,97.7,95.35,95.35,98.47,94.55,95.35,95.35,95.35,95.35,95.35,95.35,98.47,98.47,94.55,95.35,98.47,96.14,96.92,92.93,92.93,92.93,92.11,91.29,0,86.16,92.93,92.93,0,88.76,0,94.55,96.92,95.35,96.14,96.92,0,98.47,95.35,96.92,52.38,96.14,97.7
ecoli1,88.07,92.75,87.5,85.21,83.25,91.23,90.2,85.21,89.98,90.71,93.25,92.25,78.77,84.72,77.96,78,82.79,45.6,81.99,84.24,71.75,45.36,86.65,84.63,91.74,84.72,88.63,88.63,85.98,85.21,83.74,89.15,88.63,80.22,90.1,86.17,82.42,88.5,91.23,91.23,88,87.88,91.23,91.74,89.49,84.85,85.21,91.74
ecoli2,85.95,89.68,85.51,90.61,85.51,87.31,88.74,89.68,85.51,88.14,91.7,89.68,69.27,74.05,79.41,83.39,79.84,55.74,79.41,89.21,88.74,45.85,83.39,74.87,65.54,79.98,62.93,86.35,83.39,80.7,87.79,82.38,81.68,65.54,62.14,82.79,85.51,89.68,93.18,90.15,88.74,87.79,87.79,89.68,89.68,89.21,88.66,89.68
glass-0-1-2-3_vs_4-5-6,96.08,91.15,81.34,76.46,94.46,51.14,52.62,70.16,80.38,77.46,95.27,90.3,75.45,71.94,51.41,54.19,55.47,58.18,56.1,90.3,52.89,86.9,58.18,71.94,49.61,48.04,46.41,44.72,46.41,41.14,41.14,41.14,51.14,41.14,56.84,41.14,95.27,75.45,58.18,80.38,96.08,41.14,46.41,56.84,79.42,51.14,94.46,92.82
glass0,30.74,40.15,39.22,39.22,39.69,73.38,43.98,39.22,43.98,50.2,44.47,72.63,30.74,0,31.45,24.81,28.9,70.58,31.45,31.1,35.5,30.74,31.45,74.42,0,0,0,0,0,60.76,0,0,0,58.99,0,71.61,45.45,51.92,67.94,69.43,68.69,67.12,67.12,50.13,50.78,61.48,37.11,67.18
glass1,50.68,59.29,61.83,61.83,63.43,70.33,70,68.72,64.36,64.04,55.84,71.25,34.83,33.53,41.71,61.06,25.63,44.99,49.85,60.18,20.93,52.4,66.88,64.04,21.48,22.03,22.03,21.76,35.25,63.25,33.97,21.48,15.38,62.02,15.19,61.73,54.77,53.29,59.29,57.31,58.38,58.33,72.32,61.01,59.29,37.68,60.91,64.36
glass6,98.45,84.12,65.63,65.63,86.82,64.45,51.14,91.99,84.12,83.21,94.46,96.08,99.23,59.48,97.67,70.32,100,30.38,73.38,71.25,98.45,25.68,93.64,100,93.64,96.87,85.16,87.71,78.73,32.82,35.08,65.63,97.67,32.82,94.46,96.87,62.02,54.07,49.61,52.62,97.67,32.82,39.22,63.25,54.07,85.03,93.64,91.99
haberman,43.78,57.75,65.15,62.55,59.17,63.96,43.78,61.45,59.75,63.28,60.32,68.16,0,62,65.11,53.8,58.29,58.49,0,54.12,57.2,41.01,66.37,60.79,56.2,57,56.2,56.2,57,57,56.2,57.4,56.2,56.2,56.2,57.4,28.7,62.46,67.65,60.41,61.45,62,28.7,56.04,66.8,55.58,63.46,67.9
new-thyroid1,93.51,97.67,97.67,97.67,92.75,89.44,92.82,97.67,93.51,97.67,85.93,97.67,92.75,93.51,100,94.26,92.75,88.07,96.87,95,94.26,98.45,91.99,100,94.26,89.16,89.16,89.16,89.16,86.23,98.45,89.16,89.16,94.26,80.38,99.23,95,97.67,97.67,98.45,94.26,85.63,94.46,98.45,98.45,97.67,87.71,98.45
new-thyroid2,100,99.23,99.23,99.23,100,96.87,99.23,100,99.23,100,98.45,100,93.87,99.23,97.67,100,99.23,87.71,96.08,98.45,99.23,99.23,98.45,99.23,93.87,93.87,93.87,99.23,93.87,42.31,97.67,99.23,93.87,99.23,99.23,99.23,99.23,99.23,99.23,99.23,99.23,91.99,99.23,99.23,99.23,99.23,97.67,99.23
page-blocks0,87.41,91.1,92.34,92.55,85.97,30.33,87.41,93.07,93.03,78.81,90.56,92.52,82.18,81.33,77.43,79.7,74.76,30.33,83.92,84.91,82.81,79.3,78.32,83.89,82.51,82,80.64,80.43,83.25,30.33,82.51,72.64,81.9,82.46,82.25,82.67,75.44,90.92,92.47,91.52,91.13,33.99,75.44,91.46,90.25,86.82,87.13,93.03
pima,65.76,71.43,70.39,73.04,72.29,70.8,71.47,78.59,75.69,73.74,75.93,77.36,49.57,67.24,65.55,67.5,59.25,55.05,70.96,72.96,70.33,61.17,70.74,71.19,70.16,71.97,67.77,69.09,68,56.22,68.68,73.27,68.44,71.07,72.29,73.22,72.17,70.65,69.93,72.14,74.61,66.32,75.34,70.8,72.99,72.52,71.58,79.21
vehicle0,84.27,89.38,89,89.38,85.33,89.75,92.18,89.38,87.53,85.93,89.82,88.36,66.25,82.32,85.45,77.21,58.26,77.29,83.55,68.45,71.56,78.38,78.69,78.9,69.08,67.53,70.72,68.87,68.33,79.37,73.54,68.87,69.7,70.05,72.52,72.73,98.81,98.21,98.01,98.61,94.17,89.54,92.64,96.82,98.21,97.61,97.61,98.21
vehicle1,46.57,70.43,65.22,64.06,62.33,63.38,68.7,72.22,67.88,67.02,71.36,70.1,0,67.88,69.1,59.83,45.07,59.47,69.53,65.83,63.76,55.74,55.22,69.93,66.99,68.67,68.47,69.93,69.93,63.29,68.09,67.88,68.42,67.83,68.27,69.93,63.53,75.86,83.27,75.75,82.41,66.11,76.63,80.37,81.61,85.5,84.36,87.12
vehicle2,95.17,95.37,94.74,95.16,94.77,88.47,94.33,85.13,95.16,94.95,90.59,95.57,92.22,96.56,91.71,97.59,93.75,56.49,95.97,92.64,94.98,93.56,94.98,96.17,82.95,87.89,76.65,72.64,75.94,49.01,79.43,77.68,81.78,82.76,80.79,85.85,94.69,95.37,95.57,96.19,94.77,64.9,94.77,93.54,95.97,95.97,93.96,95.97
vehicle3,56.32,65.95,69.57,67.59,64.33,68.98,66.19,72.15,71.62,68.54,73.2,68.47,71.41,68.53,73.39,59.03,66.05,50.59,68.48,66.6,72.71,63.41,68.45,73.9,67.59,67.79,73.73,74.58,65.61,65.11,68.87,67.7,66,67.59,67.76,68.94,75.56,84.19,84.2,84.93,81.69,55.83,79.31,81,82.14,83.52,78.42,85.51
yeast3,82.58,85.83,85.42,82.71,84.81,76.71,88.75,86.33,85.73,45.66,87.74,87.84,88.89,47.06,66.56,54.01,67.05,45.03,0,63.06,80.29,34.15,90.39,50.56,69.75,75.18,68.9,74.25,47.11,20.94,50.78,78.69,77.5,51.44,59.9,75.76,82.48,85.73,87.74,91.86,94.08,67.96,93.85,91.64,87.06,42.35,82.19,90.82
